AirPollutionAttributableDeaths,,,,,,,,,,,
ParentLocationCode,ParentLocation,Location,Period,Dim1,Dim1ValueCode,Dim2,FactValueNumeric,FactValueNumericLow,FactValueNumericHigh,Value,DateModified
AMR,Americas,Saint Vincent and the Grenadines,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.45,0.24,0.68,0.45 [0.24 – 0.68],7/6/18 0:00
AMR,Americas,Antigua and Barbuda,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",0.45,0.24,0.71,0.45 [0.24 – 0.71],7/6/18 0:00
AMR,Americas,Saint Lucia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.47,0.26,0.72,0.47 [0.26 – 0.72],7/6/18 0:00
WPR,Western Pacific,Samoa,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.53,0.24,0.91,0.53 [0.24 – 0.91],7/6/18 0:00
AFR,Africa,Cabo Verde,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.53,0.31,0.78,0.53 [0.31 – 0.78],7/6/18 0:00
AFR,Africa,Sao Tome and Principe,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.54,0.3,0.82,0.54 [0.3 – 0.82],7/6/18 0:00
WPR,Western Pacific,Micronesia (Federated States of),2016,Male,MLE,"Trachea, bronchus, lung cancers",0.55,0.25,0.95,0.55 [0.25 – 0.95],7/6/18 0:00
WPR,Western Pacific,Kiribati,2016,Female,FMLE,Chronic obstructive pulmonary disease,0.64,0.24,1.16,0.64 [0.24 – 1.16],7/6/18 0:00
AMR,Americas,Saint Vincent and the Grenadines,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.64,0.35,0.97,0.64 [0.35 – 0.97],7/6/18 0:00
WPR,Western Pacific,Brunei Darussalam,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.65,0.11,1.56,0.65 [0.11 – 1.56],7/6/18 0:00
AMR,Americas,Grenada,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.65,0.35,0.99,0.65 [0.35 – 0.99],7/6/18 0:00
WPR,Western Pacific,Samoa,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",0.69,0.32,1.18,0.69 [0.32 – 1.18],7/6/18 0:00
SEAR,South-East Asia,Maldives,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.7,0.26,1.37,0.7 [0.26 – 1.37],7/6/18 0:00
AFR,Africa,Comoros,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.7,0.37,1.1,0.7 [0.37 – 1.1],7/6/18 0:00
AFR,Africa,Eswatini,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.72,0.38,1.16,0.72 [0.38 – 1.16],7/6/18 0:00
WPR,Western Pacific,Kiribati,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",0.75,0.35,1.28,0.75 [0.35 – 1.28],7/6/18 0:00
AMR,Americas,Saint Vincent and the Grenadines,2016,Female,FMLE,Chronic obstructive pulmonary disease,0.76,0.39,1.21,0.76 [0.39 – 1.21],7/6/18 0:00
SEAR,South-East Asia,Maldives,2016,Female,FMLE,Lower respiratory infections,0.77,0.13,1.88,0.77 [0.13 – 1.88],7/6/18 0:00
WPR,Western Pacific,Micronesia (Federated States of),2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",0.79,0.36,1.36,0.79 [0.36 – 1.36],7/6/18 0:00
WPR,Western Pacific,Vanuatu,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.79,0.36,1.38,0.79 [0.36 – 1.38],7/6/18 0:00
WPR,Western Pacific,Brunei Darussalam,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.83,0.14,1.99,0.83 [0.14 – 1.99],7/6/18 0:00
AFR,Africa,Gambia,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.83,0.49,1.21,0.83 [0.49 – 1.21],7/6/18 0:00
AFR,Africa,Cabo Verde,2016,Male,MLE,"Trachea, bronchus, lung cancers",0.85,0.5,1.25,0.85 [0.5 – 1.25],7/6/18 0:00
SEAR,South-East Asia,Maldives,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",0.86,0.32,1.68,0.86 [0.32 – 1.68],7/6/18 0:00
WPR,Western Pacific,Tonga,2016,Female,FMLE,Chronic obstructive pulmonary disease,0.88,0.33,1.61,0.88 [0.33 – 1.61],7/6/18 0:00
SEAR,South-East Asia,Maldives,2016,Male,MLE,Lower respiratory infections,0.89,0.15,2.17,0.89 [0.15 – 2.17],7/6/18 0:00
WPR,Western Pacific,Fiji,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.91,0.42,1.56,0.91 [0.42 – 1.56],7/6/18 0:00
AMR,Americas,Belize,2016,Female,FMLE,"Trachea, bronchus, lung cancers",0.93,0.5,1.44,0.93 [0.5 – 1.44],7/6/18 0:00
WPR,Western Pacific,Samoa,2016,Female,FMLE,Chronic obstructive pulmonary disease,0.95,0.36,1.72,0.95 [0.36 – 1.72],7/6/18 0:00
WPR,Western Pacific,Brunei Darussalam,2016,Female,FMLE,Lower respiratory infections,0.96,0.053,2.91,0.96 [0.053 – 2.91],7/6/18 0:00
AFR,Africa,Comoros,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",0.97,0.52,1.52,0.97 [0.52 – 1.52],7/6/18 0:00
EUR,Europe,Portugal,2016,Both sexes,BTSX,Ischaemic heart disease,1004,589.6,1480,"1,004 [589.6 – 1,480]",7/6/18 0:00
AFR,Africa,Mauritania,2016,Male,MLE,Total,1007,842.1,1183,"1,007 [842.1 – 1,183]",7/6/18 0:00
AMR,Americas,El Salvador,2016,Male,MLE,Total,1007,849.6,1166,"1,007 [849.6 – 1,166]",7/6/18 0:00
EUR,Europe,United Kingdom of Great Britain and Northern Ireland,2016,Female,FMLE,"Trachea, bronchus, lung cancers",1010,456.8,1765,"1,010 [456.8 – 1,765]",7/6/18 0:00
EUR,Europe,Austria,2016,Male,MLE,Ischaemic heart disease,1011,701.5,1334,"1,011 [701.5 – 1,334]",7/6/18 0:00
EMR,Eastern Mediterranean,Iran (Islamic Republic of),2016,Female,FMLE,Chronic obstructive pulmonary disease,1012,575.4,1501,"1,012 [575.4 – 1,501]",7/6/18 0:00
AFR,Africa,Cameroon,2016,Female,FMLE,Stroke,1013,848.9,1191,"1,013 [848.9 – 1,191]",7/6/18 0:00
AFR,Africa,Sierra Leone,2016,Both sexes,BTSX,Ischaemic heart disease,1019,838.1,1194,"1,019 [838.1 – 1,194]",7/6/18 0:00
AFR,Africa,Mauritania,2016,Both sexes,BTSX,Lower respiratory infections,1023,758.3,1305,"1,023 [758.3 – 1,305]",7/6/18 0:00
AFR,Africa,Algeria,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1028,586.9,1523,"1,028 [586.9 – 1,523]",7/6/18 0:00
EUR,Europe,Finland,2016,Both sexes,BTSX,Total,1028,635.7,1613,"1,028 [635.7 – 1,613]",7/6/18 0:00
AMR,Americas,Colombia,2016,Female,FMLE,Stroke,1029,725,1565,"1,029 [725 – 1,565]",7/6/18 0:00
EUR,Europe,Latvia,2016,Both sexes,BTSX,Ischaemic heart disease,1031,707.5,1357,"1,031 [707.5 – 1,357]",7/6/18 0:00
AMR,Americas,Dominican Republic,2016,Male,MLE,Ischaemic heart disease,1031,811.7,1229,"1,031 [811.7 – 1,229]",7/6/18 0:00
AFR,Africa,Mali,2016,Female,FMLE,Ischaemic heart disease,1031,841.6,1220,"1,031 [841.6 – 1,220]",7/6/18 0:00
WPR,Western Pacific,Lao People's Democratic Republic,2016,Both sexes,BTSX,Ischaemic heart disease,1033,844.9,1208,"1,033 [844.9 – 1,208]",7/6/18 0:00
AMR,Americas,Honduras,2016,Both sexes,BTSX,Ischaemic heart disease,1037,805.5,1259,"1,037 [805.5 – 1,259]",7/6/18 0:00
SEAR,South-East Asia,Sri Lanka,2016,Both sexes,BTSX,Stroke,1038,719.7,1628,"1,038 [719.7 – 1,628]",7/6/18 0:00
EUR,Europe,Uzbekistan,2016,Female,FMLE,Stroke,1038,778.5,1427,"1,038 [778.5 – 1,427]",7/6/18 0:00
AFR,Africa,Benin,2016,Both sexes,BTSX,Ischaemic heart disease,1039,858.8,1213,"1,039 [858.8 – 1,213]",7/6/18 0:00
AMR,Americas,Costa Rica,2016,Both sexes,BTSX,Total,1040,841.1,1266,"1,040 [841.1 – 1,266]",7/6/18 0:00
EUR,Europe,Greece,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1041,458.8,1759,"1,041 [458.8 – 1,759]",7/6/18 0:00
AFR,Africa,Ethiopia,2016,Female,FMLE,Chronic obstructive pulmonary disease,1041,582.7,1577,"1,041 [582.7 – 1,577]",7/6/18 0:00
AFR,Africa,Zambia,2016,Female,FMLE,Lower respiratory infections,1041,623.3,1494,"1,041 [623.3 – 1,494]",7/6/18 0:00
EMR,Eastern Mediterranean,Morocco,2016,Female,FMLE,Stroke,1042,698.3,1539,"1,042 [698.3 – 1,539]",7/6/18 0:00
EUR,Europe,Switzerland,2016,Female,FMLE,Total,1043,710.5,1478,"1,043 [710.5 – 1,478]",7/6/18 0:00
AFR,Africa,Côte d’Ivoire,2016,Female,FMLE,Stroke,1044,854.4,1251,"1,044 [854.4 – 1,251]",7/6/18 0:00
EUR,Europe,Austria,2016,Female,FMLE,Ischaemic heart disease,1045,583.2,1585,"1,045 [583.2 – 1,585]",7/6/18 0:00
EMR,Eastern Mediterranean,Tunisia,2016,Both sexes,BTSX,Stroke,1045,773.4,1410,"1,045 [773.4 – 1,410]",7/6/18 0:00
AFR,Africa,Uganda,2016,Female,FMLE,Ischaemic heart disease,1045,858.4,1229,"1,045 [858.4 – 1,229]",7/6/18 0:00
EUR,Europe,Uzbekistan,2016,Both sexes,BTSX,Lower respiratory infections,1047,654.1,1483,"1,047 [654.1 – 1,483]",7/6/18 0:00
EUR,Europe,Turkmenistan,2016,Male,MLE,Ischaemic heart disease,1047,845.9,1234,"1,047 [845.9 – 1,234]",7/6/18 0:00
AFR,Africa,Mozambique,2016,Both sexes,BTSX,Stroke,1049,805.2,1341,"1,049 [805.2 – 1,341]",7/6/18 0:00
AFR,Africa,Uganda,2016,Male,MLE,Ischaemic heart disease,1050,901,1196,"1,050 [901 – 1,196]",7/6/18 0:00
AMR,Americas,Chile,2016,Male,MLE,Ischaemic heart disease,1051,835.6,1255,"1,051 [835.6 – 1,255]",7/6/18 0:00
AFR,Africa,Lesotho,2016,Both sexes,BTSX,Total,1051,871.7,1253,"1,051 [871.7 – 1,253]",7/6/18 0:00
AFR,Africa,Eritrea,2016,Both sexes,BTSX,Lower respiratory infections,1052,796.8,1325,"1,052 [796.8 – 1,325]",7/6/18 0:00
AMR,Americas,El Salvador,2016,Both sexes,BTSX,Ischaemic heart disease,1053,809.5,1298,"1,053 [809.5 – 1,298]",7/6/18 0:00
AFR,Africa,Angola,2016,Both sexes,BTSX,Stroke,1053,843.5,1296,"1,053 [843.5 – 1,296]",7/6/18 0:00
EUR,Europe,Israel,2016,Male,MLE,Total,1053,859.4,1282,"1,053 [859.4 – 1,282]",7/6/18 0:00
SEAR,South-East Asia,Democratic People's Republic of Korea,2016,Female,FMLE,"Trachea, bronchus, lung cancers",1055,622.3,1540,"1,055 [622.3 – 1,540]",7/6/18 0:00
EUR,Europe,Netherlands,2016,Male,MLE,Ischaemic heart disease,1056,744.9,1382,"1,056 [744.9 – 1,382]",7/6/18 0:00
EUR,Europe,Hungary,2016,Both sexes,BTSX,Stroke,1057,660.8,1807,"1,057 [660.8 – 1,807]",7/6/18 0:00
AMR,Americas,Chile,2016,Both sexes,BTSX,Stroke,1058,705.8,1664,"1,058 [705.8 – 1,664]",7/6/18 0:00
EMR,Eastern Mediterranean,Iraq,2016,Female,FMLE,Stroke,1058,858.5,1281,"1,058 [858.5 – 1,281]",7/6/18 0:00
EUR,Europe,Sweden,2016,Both sexes,BTSX,Ischaemic heart disease,1060,527.1,1742,"1,060 [527.1 – 1,742]",7/6/18 0:00
EMR,Eastern Mediterranean,Kuwait,2016,Male,MLE,Total,1060,956.1,1169,"1,060 [956.1 – 1,169]",7/6/18 0:00
EUR,Europe,Bulgaria,2016,Male,MLE,Stroke,1067,736,1613,"1,067 [736 – 1,613]",7/6/18 0:00
WPR,Western Pacific,Malaysia,2016,Male,MLE,Lower respiratory infections,1075,498.2,1786,"1,075 [498.2 – 1,786]",7/6/18 0:00
EUR,Europe,Albania,2016,Male,MLE,Total,1075,878.1,1309,"1,075 [878.1 – 1,309]",7/6/18 0:00
EUR,Europe,Switzerland,2016,Male,MLE,Total,1078,802.7,1383,"1,078 [802.7 – 1,383]",7/6/18 0:00
AFR,Africa,Côte d’Ivoire,2016,Male,MLE,Stroke,1078,881,1284,"1,078 [881 – 1,284]",7/6/18 0:00
AFR,Africa,Cameroon,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1079,678.7,1524,"1,079 [678.7 – 1,524]",7/6/18 0:00
EUR,Europe,Romania,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1082,460.7,1858,"1,082 [460.7 – 1,858]",7/6/18 0:00
EMR,Eastern Mediterranean,Morocco,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1085,603.6,1650,"1,085 [603.6 – 1,650]",7/6/18 0:00
EMR,Eastern Mediterranean,Egypt,2016,Male,MLE,"Trachea, bronchus, lung cancers",1086,766.7,1396,"1,086 [766.7 – 1,396]",7/6/18 0:00
AFR,Africa,Chad,2016,Both sexes,BTSX,Stroke,1086,927.8,1260,"1,086 [927.8 – 1,260]",7/6/18 0:00
SEAR,South-East Asia,India,2016,Both sexes,BTSX,Total,1087018,961390,1234268,"1,087,018 [961,390 – 1,234,268]",7/6/18 0:00
AFR,Africa,Liberia,2016,Both sexes,BTSX,Total,1088,798.9,1426,"1,088 [798.9 – 1,426]",7/6/18 0:00
AFR,Africa,Niger,2016,Female,FMLE,Ischaemic heart disease,1092,915.9,1273,"1,092 [915.9 – 1,273]",7/6/18 0:00
EMR,Eastern Mediterranean,Libya,2016,Female,FMLE,Total,1093,953.4,1234,"1,093 [953.4 – 1,234]",7/6/18 0:00
EMR,Eastern Mediterranean,Saudi Arabia,2016,Female,FMLE,Lower respiratory infections,1099,874.6,1317,"1,099 [874.6 – 1,317]",7/6/18 0:00
EUR,Europe,France,2016,Female,FMLE,Lower respiratory infections,1102,379.3,2099,"1,102 [379.3 – 2,099]",7/6/18 0:00
AMR,Americas,Cuba,2016,Both sexes,BTSX,Lower respiratory infections,1105,580,1742,"1,105 [580 – 1,742]",7/6/18 0:00
WPR,Western Pacific,Australia,2016,Male,MLE,Ischaemic heart disease,1105,718.2,1530,"1,105 [718.2 – 1,530]",7/6/18 0:00
AFR,Africa,Mali,2016,Both sexes,BTSX,Stroke,1105,908.9,1313,"1,105 [908.9 – 1,313]",7/6/18 0:00
EUR,Europe,Republic of Moldova,2016,Male,MLE,Ischaemic heart disease,1115,858.6,1359,"1,115 [858.6 – 1,359]",7/6/18 0:00
AMR,Americas,Bolivia (Plurinational State of),2016,Both sexes,BTSX,Lower respiratory infections,1116,613,1702,"1,116 [613 – 1,702]",7/6/18 0:00
EUR,Europe,Switzerland,2016,Both sexes,BTSX,Ischaemic heart disease,1119,666.7,1651,"1,119 [666.7 – 1,651]",7/6/18 0:00
WPR,Western Pacific,Philippines,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",1121,591.1,1779,"1,121 [591.1 – 1,779]",7/6/18 0:00
AFR,Africa,Cameroon,2016,Female,FMLE,Ischaemic heart disease,1121,929.7,1313,"1,121 [929.7 – 1,313]",7/6/18 0:00
AMR,Americas,Nicaragua,2016,Both sexes,BTSX,Total,1122,932.9,1333,"1,122 [932.9 – 1,333]",7/6/18 0:00
EUR,Europe,France,2016,Female,FMLE,Chronic obstructive pulmonary disease,1125,430.3,2009,"1,125 [430.3 – 2,009]",7/6/18 0:00
EUR,Europe,Lithuania,2016,Male,MLE,Total,1127,887.6,1381,"1,127 [887.6 – 1,381]",7/6/18 0:00
EUR,Europe,Italy,2016,Female,FMLE,Lower respiratory infections,1129,537.3,1855,"1,129 [537.3 – 1,855]",7/6/18 0:00
AFR,Africa,Zambia,2016,Male,MLE,Lower respiratory infections,1129,676.1,1621,"1,129 [676.1 – 1,621]",7/6/18 0:00
WPR,Western Pacific,Papua New Guinea,2016,Male,MLE,Total,1130,902,1418,"1,130 [902 – 1,418]",7/6/18 0:00
EMR,Eastern Mediterranean,Yemen,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1131,665.1,1635,"1,131 [665.1 – 1,635]",7/6/18 0:00
EUR,Europe,Spain,2016,Both sexes,BTSX,Lower respiratory infections,1138,310.6,2418,"1,138 [310.6 – 2,418]",7/6/18 0:00
AFR,Africa,Senegal,2016,Female,FMLE,Lower respiratory infections,1140,826.8,1467,"1,140 [826.8 – 1,467]",7/6/18 0:00
EUR,Europe,Germany,2016,Female,FMLE,"Trachea, bronchus, lung cancers",1141,542.5,1930,"1,141 [542.5 – 1,930]",7/6/18 0:00
EUR,Europe,Poland,2016,Female,FMLE,Chronic obstructive pulmonary disease,1141,585.1,1844,"1,141 [585.1 – 1,844]",7/6/18 0:00
WPR,Western Pacific,China,2016,Both sexes,BTSX,Total,1150296,995339,1306513,"1,150,296 [995,339 – 1,306,513]",7/6/18 0:00
AFR,Africa,Algeria,2016,Female,FMLE,Stroke,1154,862.5,1553,"1,154 [862.5 – 1,553]",7/6/18 0:00
AMR,Americas,Peru,2016,Both sexes,BTSX,Stroke,1154,909.5,1507,"1,154 [909.5 – 1,507]",7/6/18 0:00
AFR,Africa,Burundi,2016,Female,FMLE,Lower respiratory infections,1160,806.6,1542,"1,160 [806.6 – 1,542]",7/6/18 0:00
AMR,Americas,Canada,2016,Female,FMLE,Ischaemic heart disease,1170,588,1927,"1,170 [588 – 1,927]",7/6/18 0:00
AFR,Africa,Algeria,2016,Male,MLE,Lower respiratory infections,1170,854.4,1499,"1,170 [854.4 – 1,499]",7/6/18 0:00
AFR,Africa,Mozambique,2016,Both sexes,BTSX,Ischaemic heart disease,1171,920.6,1421,"1,171 [920.6 – 1,421]",7/6/18 0:00
SEAR,South-East Asia,Democratic People's Republic of Korea,2016,Both sexes,BTSX,Lower respiratory infections,1172,809.5,1567,"1,172 [809.5 – 1,567]",7/6/18 0:00
AFR,Africa,Algeria,2016,Male,MLE,Stroke,1173,888.9,1547,"1,173 [888.9 – 1,547]",7/6/18 0:00
EUR,Europe,Netherlands,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1178,453.2,2100,"1,178 [453.2 – 2,100]",7/6/18 0:00
EUR,Europe,France,2016,Male,MLE,Stroke,1180,625.5,2389,"1,180 [625.5 – 2,389]",7/6/18 0:00
AMR,Americas,Ecuador,2016,Both sexes,BTSX,Ischaemic heart disease,1181,871.8,1492,"1,181 [871.8 – 1,492]",7/6/18 0:00
EMR,Eastern Mediterranean,Yemen,2016,Male,MLE,Stroke,1185,998.6,1391,"1,185 [998.6 – 1,391]",7/6/18 0:00
AFR,Africa,Eritrea,2016,Male,MLE,Total,1186,1026,1367,"1,186 [1,026 – 1,367]",7/6/18 0:00
AMR,Americas,Guatemala,2016,Both sexes,BTSX,Ischaemic heart disease,1186,904.5,1463,"1,186 [904.5 – 1,463]",7/6/18 0:00
EUR,Europe,Tajikistan,2016,Male,MLE,Ischaemic heart disease,1186,955.6,1423,"1,186 [955.6 – 1,423]",7/6/18 0:00
EMR,Eastern Mediterranean,United Arab Emirates,2016,Male,MLE,Total,1188,1057,1326,"1,188 [1,057 – 1,326]",7/6/18 0:00
AFR,Africa,Democratic Republic of the Congo,2016,Female,FMLE,Chronic obstructive pulmonary disease,1194,674.5,1787,"1,194 [674.5 – 1,787]",7/6/18 0:00
AFR,Africa,Guinea,2016,Female,FMLE,Lower respiratory infections,1197,674.8,1794,"1,197 [674.8 – 1,794]",7/6/18 0:00
EUR,Europe,Bulgaria,2016,Female,FMLE,Stroke,1198,675.2,2161,"1,198 [675.2 – 2,161]",7/6/18 0:00
EUR,Europe,Armenia,2016,Male,MLE,Total,1206,1025,1403,"1,206 [1,025 – 1,403]",7/6/18 0:00
EUR,Europe,Russian Federation,2016,Female,FMLE,Lower respiratory infections,1211,522.9,2103,"1,211 [522.9 – 2,103]",7/6/18 0:00
EUR,Europe,Spain,2016,Both sexes,BTSX,"Trachea, bronchus, lung cancers",1212,524.2,2162,"1,212 [524.2 – 2,162]",7/6/18 0:00
EMR,Eastern Mediterranean,Iran (Islamic Republic of),2016,Female,FMLE,Lower respiratory infections,1213,888.8,1555,"1,213 [888.8 – 1,555]",7/6/18 0:00
EUR,Europe,United Kingdom of Great Britain and Northern Ireland,2016,Male,MLE,"Trachea, bronchus, lung cancers",1215,549.6,2124,"1,215 [549.6 – 2,124]",7/6/18 0:00
EUR,Europe,Uzbekistan,2016,Male,MLE,Stroke,1224,966.9,1541,"1,224 [966.9 – 1,541]",7/6/18 0:00
AFR,Africa,Ghana,2016,Male,MLE,Ischaemic heart disease,1226,1013,1436,"1,226 [1,013 – 1,436]",7/6/18 0:00
WPR,Western Pacific,Viet Nam,2016,Female,FMLE,"Trachea, bronchus, lung cancers",1226,714.8,1805,"1,226 [714.8 – 1,805]",7/6/18 0:00
AFR,Africa,Algeria,2016,Female,FMLE,Lower respiratory infections,1226,895.6,1572,"1,226 [895.6 – 1,572]",7/6/18 0:00
SEAR,South-East Asia,Democratic People's Republic of Korea,2016,Male,MLE,"Trachea, bronchus, lung cancers",1228,724.4,1793,"1,228 [724.4 – 1,793]",7/6/18 0:00
EUR,Europe,Republic of Moldova,2016,Female,FMLE,Ischaemic heart disease,1228,845.2,1627,"1,228 [845.2 – 1,627]",7/6/18 0:00
AMR,Americas,Cuba,2016,Female,FMLE,Ischaemic heart disease,1232,867.4,1601,"1,232 [867.4 – 1,601]",7/6/18 0:00
AFR,Africa,Madagascar,2016,Female,FMLE,Lower respiratory infections,1235,688.7,1865,"1,235 [688.7 – 1,865]",7/6/18 0:00
EUR,Europe,Georgia,2016,Both sexes,BTSX,Stroke,1238,836.5,1903,"1,238 [836.5 – 1,903]",7/6/18 0:00
EUR,Europe,Spain,2016,Female,FMLE,Stroke,1239,423.3,3294,"1,239 [423.3 – 3,294]",7/6/18 0:00
EMR,Eastern Mediterranean,Saudi Arabia,2016,Male,MLE,Stroke,1240,1041,1472,"1,240 [1,041 – 1,472]",7/6/18 0:00
AFR,Africa,Kenya,2016,Both sexes,BTSX,Ischaemic heart disease,1241,990.4,1481,"1,241 [990.4 – 1,481]",7/6/18 0:00
EMR,Eastern Mediterranean,Afghanistan,2016,Both sexes,BTSX,Chronic obstructive pulmonary disease,1244,750.9,1776,"1,244 [750.9 – 1,776]",7/6/18 0:00
EUR,Europe,Turkmenistan,2016,Female,FMLE,Total,1245,1040,1451,"1,245 [1,040 – 1,451]",7/6/18 0:00
AFR,Africa,Niger,2016,Male,MLE,Ischaemic heart disease,1246,1066,1428,"1,246 [1,066 – 1,428]",7/6/18 0:00
AFR,Africa,Burundi,2016,Male,MLE,Lower respiratory infections,1246,866.2,1656,"1,246 [866.2 – 1,656]",7/6/18 0:00
WPR,Western Pacific,Singapore,2016,Male,MLE,Total,1252,980.1,1572,"1,252 [980.1 – 1,572]",7/6/18 0:00
AMR,Americas,Brazil,2016,Male,MLE,"Trachea, bronchus, lung cancers",1256,602.1,2111,"1,256 [602.1 – 2,111]",7/6/18 0:00
AFR,Africa,South Africa,2016,Female,FMLE,Chronic obstructive pulmonary disease,1259,678,1973,"1,259 [678 – 1,973]",7/6/18 0:00
AFR,Africa,Senegal,2016,Male,MLE,Lower respiratory infections,1260,914.1,1622,"1,260 [914.1 – 1,622]",7/6/18 0:00
EUR,Europe,Lithuania,2016,Female,FMLE,Total,1262,827.9,1806,"1,262 [827.9 – 1,806]",7/6/18 0:00
EUR,Europe,United Kingdom of Great Britain and Northern Ireland,2016,Male,MLE,Stroke,1271,659.1,2665,"1,271 [659.1 – 2,665]",7/6/18 0:00
EUR,Europe,Greece,2016,Female,FMLE,Ischaemic heart disease,1282,755.7,1864,"1,282 [755.7 – 1,864]",7/6/18 0:00
EUR,Europe,Germany,2016,Female,FMLE,Lower respiratory infections,1284,441.4,2445,"1,284 [441.4 – 2,445]",7/6/18 0:00
AFR,Africa,Guinea,2016,Both sexes,BTSX,Ischaemic heart disease,1296,1045,1534,"1,296 [1,045 – 1,534]",7/6/18 0:00
WPR,Western Pacific,Lao People's Democratic Republic,2016,Male,MLE,Total,1297,1116,1490,"1,297 [1,116 – 1,490]",7/6/18 0:00
AMR,Americas,Dominican Republic,2016,Female,FMLE,Total,1298,1061,1554,"1,298 [1,061 – 1,554]",7/6/18 0:00
EMR,Eastern Mediterranean,Lebanon,2016,Female,FMLE,Total,1299,1072,1529,"1,299 [1,072 – 1,529]",7/6/18 0:00
EUR,Europe,Russian Federation,2016,Female,FMLE,Chronic obstructive pulmonary disease,1304,549.1,2250,"1,304 [549.1 – 2,250]",7/6/18 0:00
EMR,Eastern Mediterranean,Afghanistan,2016,Male,MLE,Stroke,1305,1104,1521,"1,305 [1,104 – 1,521]",7/6/18 0:00
EUR,Europe,Germany,2016,Male,MLE,Lower respiratory infections,1311,450.6,2496,"1,311 [450.6 – 2,496]",7/6/18 0:00
WPR,Western Pacific,Republic of Korea,2016,Male,MLE,Chronic obstructive pulmonary disease,1313,700.8,2061,"1,313 [700.8 – 2,061]",7/6/18 0:00
AMR,Americas,Paraguay,2016,Both sexes,BTSX,Total,1314,1080,1604,"1,314 [1,080 – 1,604]",7/6/18 0:00
